step,mse_dashifine,mse_prbf,mse_rbf,mse_u_dashifine,mse_v_dashifine,mse_u_prbf,mse_v_prbf,mse_u_rbf,mse_v_rbf,mse_u_radial_dashifine,mse_u_radial_prbf,mse_u_radial_rbf,mean_u_true,mean_v_true,mean_u_dashifine,mean_v_dashifine,mean_u_prbf,mean_v_prbf,mean_u_rbf,mean_v_rbf,mass_true,mass_dashifine,mass_prbf,mass_rbf
1,0.000149,0.000001,0.000001,0.000297,0.000001,0.000001,0.000000,0.000002,0.000001,0.000704,0.000001,0.000001,0.878521,0.061280,0.882432,0.061512,0.878435,0.061336,0.877953,0.061132,0.939801,0.943944,0.939771,0.939084
2,0.000742,0.000002,0.000003,0.001470,0.000015,0.000003,0.000001,0.000005,0.000002,0.003730,0.000003,0.000002,0.878163,0.061451,0.874940,0.060473,0.878131,0.061471,0.877235,0.061271,0.939614,0.935413,0.939602,0.938505
3,0.008933,0.000005,0.000006,0.017830,0.000037,0.000007,0.000002,0.000008,0.000004,0.046557,0.000007,0.000003,0.877806,0.061621,0.856191,0.059447,0.877909,0.061547,0.876636,0.061443,0.939427,0.915637,0.939456,0.938080
4,0.077984,0.000008,0.000008,0.155159,0.000810,0.000013,0.000003,0.000011,0.000005,0.153280,0.000012,0.000005,0.877452,0.061789,0.755139,0.051523,0.877740,0.061591,0.876119,0.061624,0.939241,0.806662,0.939331,0.937743
5,0.340322,0.000012,0.000011,0.675462,0.005181,0.000019,0.000005,0.000014,0.000007,0.788128,0.000019,0.000006,0.877099,0.061957,0.595546,0.029967,0.877608,0.061618,0.875663,0.061805,0.939056,0.625512,0.939226,0.937467
6,0.222501,0.000017,0.000013,0.439644,0.005358,0.000027,0.000007,0.000017,0.000009,0.329133,0.000026,0.000008,0.876747,0.062124,0.640950,0.036153,0.877503,0.061636,0.875253,0.061983,0.938871,0.677103,0.939139,0.937236
7,0.246358,0.000022,0.000015,0.484706,0.008011,0.000035,0.000009,0.000021,0.000010,0.441759,0.000035,0.000010,0.876397,0.062290,0.594511,0.021628,0.877416,0.061651,0.874881,0.062158,0.938687,0.616139,0.939067,0.937038
8,0.236876,0.000028,0.000018,0.466590,0.007162,0.000045,0.000011,0.000024,0.000011,0.362519,0.000045,0.000012,0.876049,0.062455,0.570106,0.024647,0.877345,0.061665,0.874538,0.062330,0.938504,0.594753,0.939009,0.936868
9,0.263109,0.000035,0.000020,0.517651,0.008567,0.000056,0.000014,0.000027,0.000013,0.546160,0.000056,0.000014,0.875703,0.062619,0.526747,0.020125,0.877285,0.061679,0.874219,0.062499,0.938321,0.546872,0.938964,0.936718
10,0.250446,0.000043,0.000022,0.492467,0.008425,0.000068,0.000018,0.000031,0.000014,0.401692,0.000068,0.000016,0.875358,0.062782,0.523185,0.020124,0.877234,0.061694,0.873920,0.062667,0.938140,0.543308,0.938928,0.936587
11,0.267574,0.000051,0.000025,0.525601,0.009547,0.000081,0.000022,0.000034,0.000015,0.509325,0.000080,0.000018,0.875014,0.062945,0.503151,0.016635,0.877190,0.061710,0.873637,0.062832,0.937959,0.519787,0.938901,0.936469
12,0.254804,0.000060,0.000027,0.500497,0.009111,0.000094,0.000026,0.000038,0.000016,0.403323,0.000094,0.000020,0.874672,0.063107,0.505526,0.017766,0.877152,0.061728,0.873368,0.062995,0.937779,0.523292,0.938881,0.936363
13,0.278919,0.000070,0.000030,0.547834,0.010003,0.000109,0.000030,0.000042,0.000017,0.601135,0.000108,0.000022,0.874331,0.063268,0.482462,0.015163,0.877119,0.061747,0.873110,0.063156,0.937599,0.497625,0.938866,0.936266
14,0.259875,0.000080,0.000032,0.510332,0.009418,0.000124,0.000035,0.000046,0.000018,0.410319,0.000122,0.000025,0.873992,0.063429,0.490887,0.016467,0.877089,0.061768,0.872862,0.063315,0.937421,0.507354,0.938857,0.936177
15,0.273645,0.000091,0.000035,0.537043,0.010246,0.000141,0.000041,0.000050,0.000020,0.532675,0.000137,0.000027,0.873654,0.063589,0.476170,0.014076,0.877063,0.061789,0.872621,0.063473,0.937243,0.490245,0.938852,0.936094
16,0.257874,0.000102,0.000038,0.506173,0.009574,0.000158,0.000047,0.000054,0.000021,0.409145,0.000152,0.000030,0.873317,0.063749,0.488045,0.015966,0.877038,0.061811,0.872388,0.063629,0.937066,0.504011,0.938850,0.936016
17,0.279987,0.000114,0.000040,0.549629,0.010345,0.000176,0.000053,0.000059,0.000022,0.610859,0.000168,0.000033,0.872981,0.063908,0.466675,0.013522,0.877016,0.061834,0.872160,0.063783,0.936889,0.480198,0.938850,0.935943
18,0.262226,0.000127,0.000043,0.514734,0.009719,0.000194,0.000060,0.000064,0.000023,0.412904,0.000184,0.000036,0.872647,0.064067,0.486976,0.015671,0.876995,0.061858,0.871937,0.063936,0.936714,0.502647,0.938853,0.935873
19,0.275995,0.000140,0.000047,0.541519,0.010470,0.000214,0.000067,0.000069,0.000025,0.535463,0.000200,0.000039,0.872313,0.064226,0.473346,0.013500,0.876975,0.061882,0.871719,0.064087,0.936539,0.486846,0.938857,0.935806
20,0.259243,0.000154,0.000050,0.508670,0.009816,0.000234,0.000075,0.000074,0.000026,0.415058,0.000217,0.000042,0.871981,0.064384,0.480637,0.015398,0.876956,0.061906,0.871504,0.064237,0.936364,0.496035,0.938862,0.935741
