step,mse_dashifine,mse_prbf,mse_rbf,mse_u_dashifine,mse_v_dashifine,mse_u_prbf,mse_v_prbf,mse_u_rbf,mse_v_rbf,mean_u_true,mean_v_true,mean_u_dashifine,mean_v_dashifine,mean_u_prbf,mean_v_prbf,mean_u_rbf,mean_v_rbf,mass_true,mass_dashifine,mass_prbf,mass_rbf
1,0.000995,0.000010,0.000024,0.001981,0.000010,0.000016,0.000005,0.000039,0.000009,0.837596,0.082121,0.822747,0.080250,0.839674,0.081399,0.841879,0.082251,0.919718,0.902997,0.921073,0.924129
2,0.003418,0.000033,0.000067,0.006718,0.000118,0.000052,0.000013,0.000108,0.000027,0.837069,0.082374,0.791995,0.077776,0.840537,0.081147,0.844226,0.081948,0.919443,0.869771,0.921684,0.926174
3,0.024481,0.000064,0.000119,0.048589,0.000373,0.000103,0.000024,0.000188,0.000051,0.836543,0.082626,0.692400,0.073650,0.840993,0.081091,0.845840,0.081564,0.919169,0.766050,0.922084,0.927405
4,0.154725,0.000103,0.000176,0.307387,0.002063,0.000167,0.000039,0.000273,0.000079,0.836018,0.082879,0.439239,0.059505,0.841161,0.081141,0.847023,0.081210,0.918896,0.498744,0.922302,0.928233
5,0.336853,0.000153,0.000236,0.666231,0.007475,0.000245,0.000060,0.000362,0.000110,0.835493,0.083131,0.186834,0.034321,0.841107,0.081245,0.847927,0.080901,0.918624,0.221155,0.922352,0.928828
6,0.310400,0.000213,0.000298,0.612193,0.008606,0.000338,0.000088,0.000452,0.000143,0.834970,0.083383,0.191307,0.036219,0.840868,0.081374,0.848638,0.080634,0.918353,0.227526,0.922243,0.929272
7,0.419803,0.000288,0.000360,0.827477,0.012129,0.000451,0.000125,0.000543,0.000178,0.834447,0.083635,0.120524,0.021200,0.840468,0.081514,0.849210,0.080402,0.918082,0.141725,0.921982,0.929612
8,0.339231,0.000380,0.000424,0.665470,0.012993,0.000586,0.000174,0.000635,0.000213,0.833925,0.083887,0.152881,0.021970,0.839919,0.081655,0.849678,0.080199,0.917811,0.174851,0.921574,0.929878
9,0.419349,0.000492,0.000489,0.824072,0.014626,0.000749,0.000235,0.000727,0.000250,0.833403,0.084139,0.105392,0.016143,0.839230,0.081790,0.850067,0.080021,0.917542,0.121535,0.921020,0.930088
10,0.421914,0.000629,0.000554,0.828890,0.014939,0.000947,0.000312,0.000820,0.000287,0.832882,0.084390,0.111104,0.016019,0.838406,0.081916,0.850393,0.079863,0.917273,0.127123,0.920322,0.930256
11,0.373149,0.000796,0.000619,0.730599,0.015700,0.001185,0.000406,0.000913,0.000326,0.832362,0.084642,0.124861,0.012756,0.837449,0.082029,0.850670,0.079722,0.917004,0.137618,0.919478,0.930392
12,0.462089,0.000997,0.000685,0.908455,0.015723,0.001474,0.000519,0.001005,0.000365,0.831841,0.084895,0.088689,0.012808,0.836364,0.082127,0.850906,0.079597,0.916736,0.101496,0.918491,0.930503
13,0.426594,0.001236,0.000751,0.837102,0.016087,0.001821,0.000651,0.001098,0.000405,0.831321,0.085147,0.104220,0.011959,0.835155,0.082208,0.851110,0.079484,0.916468,0.116179,0.917363,0.930594
14,0.362301,0.001517,0.000817,0.708477,0.016125,0.002233,0.000801,0.001190,0.000445,0.830802,0.085399,0.126898,0.012047,0.833832,0.082269,0.851287,0.079383,0.916201,0.138945,0.916101,0.930670
15,0.460697,0.001839,0.000884,0.905254,0.016141,0.002713,0.000965,0.001283,0.000486,0.830283,0.085652,0.087273,0.011860,0.832410,0.082307,0.851441,0.079291,0.915934,0.099133,0.914718,0.930732
16,0.426711,0.002200,0.000951,0.837029,0.016393,0.003260,0.001139,0.001375,0.000527,0.829763,0.085905,0.105715,0.011465,0.830911,0.082321,0.851576,0.079208,0.915668,0.117180,0.913232,0.930784
17,0.371089,0.002591,0.001018,0.725651,0.016526,0.003865,0.001317,0.001468,0.000569,0.829244,0.086158,0.122082,0.011381,0.829362,0.082309,0.851694,0.079132,0.915402,0.133463,0.911670,0.930827
18,0.462697,0.003002,0.001086,0.908938,0.016456,0.004512,0.001492,0.001560,0.000612,0.828725,0.086411,0.084696,0.011523,0.827789,0.082272,0.851799,0.079063,0.915136,0.096219,0.910061,0.930863
19,0.425535,0.003424,0.001154,0.834445,0.016625,0.005187,0.001661,0.001653,0.000655,0.828206,0.086664,0.107699,0.011472,0.826218,0.082217,0.851892,0.079000,0.914870,0.119171,0.908435,0.930892
20,0.362105,0.003846,0.001222,0.707435,0.016775,0.005872,0.001820,0.001746,0.000698,0.827687,0.086918,0.126551,0.011091,0.824673,0.082150,0.851975,0.078941,0.914605,0.137642,0.906823,0.930917
21,0.462926,0.004261,0.001291,0.909218,0.016634,0.006555,0.001966,0.001840,0.000742,0.827168,0.087172,0.083188,0.011618,0.823170,0.082078,0.852050,0.078888,0.914340,0.094806,0.905249,0.930937
